0,0
0.1,0.0015654
0.2,0.025347
0.3,0.067889
0.4,0.11385
0.5,0.1573
0.6,0.19671
0.7,0.232
0.8,0.26355
0.9,0.29184
1,0.31731
1.1,0.34036
1.2,0.36131
1.3,0.38046
1.4,0.39802
1.5,0.41422
1.6,0.4292
1.7,0.4431
1.8,0.45606
1.9,0.46816
2,0.4795
2.1,0.49015
2.2,0.50018
2.3,0.50965
2.4,0.51861
2.5,0.52709
2.6,0.53514
2.7,0.5428
2.8,0.5501
2.9,0.55706
3,0.5637
3.1,0.57006
3.2,0.57615
3.3,0.58199
3.4,0.58759
3.5,0.59298
3.6,0.59816
3.7,0.60315
3.8,0.60796
3.9,0.6126
4,0.61708
4.1,0.6214
4.2,0.62559
4.3,0.62963
4.4,0.63355
4.5,0.63735
4.6,0.64103
4.7,0.64461
4.8,0.64808
4.9,0.65145
5,0.65472
5.1,0.65791
5.2,0.661
5.3,0.66402
5.4,0.66695
5.5,0.66982
5.6,0.6726
5.7,0.67532
5.8,0.67798
5.9,0.68056
6,0.68309
6.1,0.68556
6.2,0.68797
6.3,0.69033
6.4,0.69263
6.5,0.69489
6.6,0.69709
6.7,0.69925
6.8,0.70136
6.9,0.70343
7,0.70546
7.1,0.70744
7.2,0.70939
7.3,0.7113
7.4,0.71317
7.5,0.715
7.6,0.7168
7.7,0.71857
7.8,0.7203
7.9,0.722
8,0.72367
8.1,0.72532
8.2,0.72693
8.3,0.72851
8.4,0.73007
8.5,0.7316
8.6,0.73311
8.7,0.73459
8.8,0.73604
8.9,0.73747
9,0.73888
9.1,0.74027
9.2,0.74163
9.3,0.74298
9.4,0.7443
9.5,0.7456
9.6,0.74689
9.7,0.74815
9.8,0.74939
9.9,0.75062
10,0.75183
10.1,0.75302
10.2,0.7542
10.3,0.75535
10.4,0.75649
10.5,0.75762
10.6,0.75873
10.7,0.75983
10.8,0.76091
10.9,0.76197
11,0.76302
11.1,0.76406
11.2,0.76509
11.3,0.7661
11.4,0.7671
11.5,0.76808
11.6,0.76906
11.7,0.77002
11.8,0.77097
11.9,0.7719
12,0.77283
12.1,0.77374
12.2,0.77465
12.3,0.77554
12.4,0.77643
12.5,0.7773
12.6,0.77816
12.7,0.77901
12.8,0.77985
12.9,0.78069
13,0.78151
13.1,0.78233
13.2,0.78313
13.3,0.78393
13.4,0.78472
13.5,0.78549
13.6,0.78627
13.7,0.78703
13.8,0.78778
13.9,0.78853
14,0.78927
14.1,0.79
14.2,0.79072
14.3,0.79144
14.4,0.79215
14.5,0.79285
14.6,0.79354
14.7,0.79423
14.8,0.79491
14.9,0.79559
15,0.79625
15.1,0.79691
15.2,0.79757
15.3,0.79822
15.4,0.79886
15.5,0.7995
15.6,0.80013
15.7,0.80075
15.8,0.80137
15.9,0.80198
16,0.80259
16.1,0.80319
16.2,0.80378
16.3,0.80438
16.4,0.80496
16.5,0.80554
16.6,0.80612
16.7,0.80669
16.8,0.80725
16.9,0.80781
17,0.80837
17.1,0.80892
17.2,0.80946
17.3,0.81
17.4,0.81054
17.5,0.81107
17.6,0.8116
17.7,0.81212
17.8,0.81264
17.9,0.81315
18,0.81366
18.1,0.81417
18.2,0.81467
18.3,0.81517
18.4,0.81566
18.5,0.81615
18.6,0.81664
18.7,0.81712
18.8,0.8176
18.9,0.81807
19,0.81855
19.1,0.81901
19.2,0.81948
19.3,0.81994
19.4,0.82039
19.5,0.82085
19.6,0.8213
19.7,0.82174
19.8,0.82219
19.9,0.82263
20,0.82306
20.1,0.8235
20.2,0.82393
20.3,0.82435
20.4,0.82478
20.5,0.8252
20.6,0.82562
20.7,0.82603
20.8,0.82644
20.9,0.82685
21,0.82726
21.1,0.82766
21.2,0.82806
21.3,0.82846
21.4,0.82886
21.5,0.82925
21.6,0.82964
21.7,0.83003
21.8,0.83041
21.9,0.83079
22,0.83117
22.1,0.83155
22.2,0.83192
22.3,0.83229
22.4,0.83266
22.5,0.83303
22.6,0.83339
22.7,0.83376
22.8,0.83411
22.9,0.83447
23,0.83483
23.1,0.83518
23.2,0.83553
23.3,0.83588
23.4,0.83622
23.5,0.83657
23.6,0.83691
23.7,0.83725
23.8,0.83759
23.9,0.83792
24,0.83826
24.1,0.83859
24.2,0.83892
24.3,0.83924
24.4,0.83957
24.5,0.83989
24.6,0.84021
24.7,0.84053
24.8,0.84085
24.9,0.84117
25,0.84148
25.1,0.84179
25.2,0.8421
25.3,0.84241
25.4,0.84272
25.5,0.84302
25.6,0.84332
25.7,0.84363
25.8,0.84393
25.9,0.84422
26,0.84452
26.1,0.84481
26.2,0.84511
26.3,0.8454
26.4,0.84569
26.5,0.84597
26.6,0.84626
26.7,0.84655
26.8,0.84683
26.9,0.84711
27,0.84739
27.1,0.84767
27.2,0.84794
27.3,0.84822
27.4,0.84849
27.5,0.84877
27.6,0.84904
27.7,0.84931
